username, created_at, lng, lat, text
ThatsSoooRaven_, Tue Apr 21 14:32:04 +0000 2020, -83.173867, 32.678207, I need to get me a pair of crocs maybe 2 pairs
theprint, Tue Apr 21 14:32:04 +0000 2020, -122.330602, 47.614817, Wondering how long it will take before putting a halt on all immigration evolves into persecuting those of us who already live here.
Ming_Leeee, Tue Apr 21 14:32:04 +0000 2020, -77.522374, 37.643906, @_whos_bad Yeah it was real good
tmj_njc_cstsrv, Tue Apr 21 14:32:04 +0000 2020, -74.229763, 40.153750, Harbor Freight Tools is hiring in #Howell, NJ! Read about our latest #CustomerService job opening via the link in o… https://t.co/l2cfnpep8N
brendalicious08, Tue Apr 21 14:32:04 +0000 2020, -97.285913, 32.779967, And that’s on priorities https://t.co/NO0NEJahwI
ChipRosenberg, Tue Apr 21 14:32:04 +0000 2020, -79.861034, 35.170499, This FPOTUS is comparing the Covid-19 briefings to TV show ratings. He’s truly not well
bud_lorick, Tue Apr 21 14:32:04 +0000 2020, -80.926628, 33.631140, Starting after 9-11 see through pocketbook for women was required at sporting event. Tomorrow it will be face mask.… https://t.co/mYCRKHfzRo
tmj_VAC_health, Tue Apr 21 14:32:04 +0000 2020, -78.501191, 38.052916, CVS Health is looking for teammates like you. See our latest #Healthcare job openings, including "Pharmacy Technici… https://t.co/Ttp6uvIH3X
TRoseActor1, Tue Apr 21 14:32:05 +0000 2020, -118.492270, 34.011580, I've been practicing social distancing  most of my life. -  Puss-Puss @ Santa Monica, California https://t.co/mvectuKnbL
tmj_NJ_facmgmt, Tue Apr 21 14:32:05 +0000 2020, -74.323476, 40.385949, See our latest #OldBridgeTownship, NJ job and click to apply: Sterile Processing Operations Manager - Old Bridge &amp;… https://t.co/11tqvNvZ3M
TheRealLeeCraft, Tue Apr 21 14:32:05 +0000 2020, -86.791549, 36.200008, @KEEMSTAR https://t.co/AzG13X0o8q
lulrisse, Tue Apr 21 14:32:05 +0000 2020, -76.920117, 38.603521, @tymathiii Get that lil boy some crocs and move along lol
fabs13ups, Tue Apr 21 14:32:05 +0000 2020, -74.363243, 41.098911, @Denlesks Fucking terrifying...
e_tags80, Tue Apr 21 14:32:05 +0000 2020, -81.516751, 41.080877, “Let’s work” 🤣🐐 smoothest too ever do it !
